source,translation_A,translation_B,A,equal,B,label_A,label_B,text,text_type
"4. Enter your new payment information on the next screen and select, Save.",4. Geben Sie auf der nächsten Seite Ihre neuen Zahlungsinformationen ein und klicken Sie auf Speichern.,4. Geben Sie auf dem nächsten Bildschirm Ihre neuen Zahlungsinformationen ein und wählen Sie Speichern.,TRUE,FALSE,FALSE,Supertext,DeepL,en-US_inst_2.txt,instructions
,,,,,,,,,
Note: If you are having trouble updating your payment method please visit Payment Issues in the Help Center to learn more.,"Hinweis: Wenn Sie Probleme beim Aktualisieren Ihrer Zahlungsmethode haben, lesen Sie bitte unter Zahlungsprobleme im Hilfebereich nach.","Hinweis: Wenn Sie Probleme mit der Aktualisierung Ihrer Zahlungsmethode haben, besuchen Sie bitte die Seite Zahlungsprobleme im Hilfe-Center, um mehr zu erfahren.",FALSE,TRUE,FALSE,Supertext,DeepL,en-US_inst_2.txt,instructions
,,,,,,,,,
Linking to NYTimes.com,Verlinkung auf NYTimes.com,Verlinkung zu NYTimes.com,FALSE,TRUE,FALSE,Supertext,DeepL,en-US_inst_3.txt,instructions
Learn more about linking to NYTimes.com.,Informationen zur Verlinkung auf NYTimes.com.,Erfahren Sie mehr über die Verlinkung mit NYTimes.com.,FALSE,FALSE,TRUE,Supertext,DeepL,en-US_inst_3.txt,instructions
Be sure to also review Obtaining and using Times content.,Bitte beachten Sie auch die Hinweise zum Erhalten und Nutzen von Times-Inhalten.,Lesen Sie auch den Abschnitt Beschaffung und Nutzung von Times-Inhalten.,FALSE,FALSE,TRUE,Supertext,DeepL,en-US_inst_3.txt,instructions
,,,,,,,,,
1. Do I need permission to link to NYTimes.com?,"1. Benötige ich eine Erlaubnis, um auf NYTimes.com zu verlinken?","1. Brauche ich eine Genehmigung, um auf NYTimes.com zu verlinken?",FALSE,TRUE,FALSE,Supertext,DeepL,en-US_inst_3.txt,instructions
,,,,,,,,,
You can link directly to NYTimes.com without obtaining permission.,"Sie können direkt auf NYTimes.com verlinken, ohne eine Erlaubnis einzuholen.","Sie können direkt auf NYTimes.com verlinken, ohne eine Genehmigung einzuholen.",FALSE,TRUE,FALSE,Supertext,DeepL,en-US_inst_3.txt,instructions
Review the rest of the questions on this page for guidelines on how to link to our site.,"Lesen Sie die übrigen Fragen auf dieser Seite, um zu erfahren, wie Sie auf unserer Website verlinken können.","Lesen Sie die restlichen Fragen auf dieser Seite, um zu erfahren, wie Sie auf unsere Website verlinken können.",FALSE,TRUE,FALSE,Supertext,DeepL,en-US_inst_3.txt,instructions
,,,,,,,,,
"2. May I link to your home page, to a particular section or to a specific article?","2. Darf ich auf die Startseite, eine bestimmte Rubrik oder einen bestimmten Artikel verlinken?","2. Darf ich einen Link zu Ihrer Homepage, zu einem bestimmten Abschnitt oder zu einem bestimmten Artikel setzen?",TRUE,FALSE,FALSE,Supertext,DeepL,en-US_inst_3.txt,instructions
,,,,,,,,,
"You may link to any page, section or article that you are able to view on NYTimes.com.","Sie dürfen auf jede Seite, Rubrik oder jeden Artikel verlinken, die bzw. den Sie auf NYTimes.com anzeigen können.","Sie können auf jede Seite, jeden Abschnitt oder Artikel verlinken, den Sie auf NYTimes.com sehen können.",FALSE,FALSE,TRUE,Supertext,DeepL,en-US_inst_3.txt,instructions
"If you are not able to view the page on NYTimes.com, it is not available for linking.","Wenn Sie die Seite auf NYTimes.com nicht anzeigen können, steht sie nicht zur Verlinkung zur Verfügung.","Wenn Sie die Seite auf NYTimes.com nicht sehen können, ist sie nicht für die Verlinkung verfügbar.",FALSE,FALSE,TRUE,Supertext,DeepL,en-US_inst_3.txt,instructions
,,,,,,,,,
"3. When linking to an NYTimes.com article, which URL should I use?","3. Welche URL sollte ich verwenden, wenn ich auf einen Artikel von NYTimes.com verlinke?","3. Welche URL sollte ich verwenden, wenn ich auf einen NYTimes.com-Artikel verlinke?",FALSE,TRUE,FALSE,Supertext,DeepL,en-US_inst_3.txt,instructions
,,,,,,,,,
Use the URL that is visible in the browser location/address bar when you view the article on our site.,"Verwenden Sie die URL, die Sie in der Adressleiste Ihres Browsers sehen, wenn Sie den Artikel auf unserer Website anzeigen.","Verwenden Sie die URL, die in der Adressleiste des Browsers angezeigt wird, wenn Sie den Artikel auf unserer Website aufrufen.",FALSE,FALSE,TRUE,Supertext,DeepL,en-US_inst_3.txt,instructions
"You can also search NYTimes.com or use a Times API to get article URLs, but for best results, always refer to the URL that appears when you actually view the article.","Sie können auch auf NYTimes.com nach Artikeln suchen oder eine Times-API verwenden, um die URLs der Artikel zu erhalten. Um jedoch die bestmöglichen Ergebnisse zu erzielen, verwenden Sie immer die URL, die Sie sehen, wenn Sie den Artikel tatsächlich anzeigen.","Sie können auch NYTimes.com durchsuchen oder eine Times-API verwenden, um Artikel-URLs zu erhalten, aber die besten Ergebnisse erzielen Sie, wenn Sie immer die URL verwenden, die angezeigt wird, wenn Sie den Artikel tatsächlich ansehen.",FALSE,TRUE,FALSE,Supertext,DeepL,en-US_inst_3.txt,instructions
"If you are not able to view the article on NYTimes.com, it is not available for linking.","Wenn Sie den Artikel auf NYTimes.com nicht anzeigen können, steht er nicht zur Verlinkung zur Verfügung.","Wenn Sie den Artikel auf NYTimes.com nicht anzeigen können, ist er nicht für eine Verlinkung verfügbar.",FALSE,TRUE,FALSE,Supertext,DeepL,en-US_inst_3.txt,instructions
,,,,,,,,,
International Subscriber Contact Information,Internationale Kontaktinformationen für Abonnenten,Kontaktinformationen für internationale Abonnenten,FALSE,FALSE,TRUE,Supertext,DeepL,en-US_inst_4.txt,instructions
Learn how to contact Customer Care about your International Print Edition or digital subscription.,"Erfahren Sie hier, wie Sie sich mit Fragen zu Ihrer internationalen Printausgabe oder Ihrem digitalen Abonnement an den Kundendienst wenden können.","Erfahren Sie, wie Sie den Kundendienst bezüglich Ihrer internationalen Printausgabe oder Ihres digitalen Abonnements kontaktieren können.",FALSE,TRUE,FALSE,Supertext,DeepL,en-US_inst_4.txt,instructions
,,,,,,,,,
Customer Care for international subscriptions is handled by two separate Customer Care teams.,Der Kundendienst für internationale Abonnements wird von zwei verschiedenen Teams abgedeckt.,Der Kundendienst für internationale Abonnements wird von zwei verschiedenen Kundendienstteams betreut.,TRUE,FALSE,FALSE,Supertext,DeepL,en-US_inst_4.txt,instructions
Please review the options below to ensure you are contacting the correct group based on your subscription type.,"Bitte wählen Sie eine der unten aufgeführten Optionen, um sicherzustellen, dass Sie sich an die richtige Gruppe wenden, je nach Art Ihres Abonnements.","Bitte prüfen Sie die nachstehenden Optionen, um sicherzustellen, dass Sie sich je nach Abonnementtyp an die richtige Gruppe wenden.",FALSE,FALSE,TRUE,Supertext,DeepL,en-US_inst_4.txt,instructions
We will be unable to transfer you if you contact the incorrect group.,Wir können Sie nicht an die falsche Gruppe weiterleiten.,"Wir können Sie nicht weiterleiten, wenn Sie sich an die falsche Gruppe wenden.",FALSE,FALSE,TRUE,Supertext,DeepL,en-US_inst_4.txt,instructions
,,,,,,,,,
International Edition Print Subscribers,Internationale Printabonnenten,Abonnenten der internationalen Printausgabe,FALSE,FALSE,TRUE,Supertext,DeepL,en-US_inst_4.txt,instructions
,,,,,,,,,
"Any enquiries in relation to your International Edition print subscription, including your complimentary All Access subscription, should be directed to the International Edition Customer Care team.","Fragen zu Ihrem internationalen Printabonnement, einschliesslich Ihres kostenlosen All-Access-Abonnements, richten Sie bitte an den Kundendienst für internationale Ausgaben.","Anfragen in Bezug auf Ihr Print-Abonnement der International Edition, einschließlich Ihres kostenlosen All Access-Abonnements, richten Sie bitte an das Customer Care-Team der International Edition.",TRUE,FALSE,FALSE,Supertext,DeepL,en-US_inst_4.txt,instructions
Please visit Contact Information for The New York Times International Print Edition for contact options.,Weitere Informationen zu den Kontaktmöglichkeiten finden Sie unter Kontaktinformationen für internationale Printausgaben von The New York Times.,"Bitte besuchen Sie die Seite Kontaktinformationen für die internationale Printausgabe der New York Times, um die Kontaktmöglichkeiten zu erfahren.",FALSE,FALSE,TRUE,Supertext,DeepL,en-US_inst_4.txt,instructions
,,,,,,,,,
International Digital Subscribers,Internationale digitale Abonnenten,Internationale Digital-Abonnenten,FALSE,TRUE,FALSE,Supertext,DeepL,en-US_inst_4.txt,instructions
,,,,,,,,,
The contact information below is only for customers contacting Customer Care from outside the United States looking for assistance with digital subscriptions.,"Die unten aufgeführten Kontaktinformationen gelten nur für Kunden, die sich von ausserhalb der USA an den Kundendienst wenden und Hilfe bei digitalen Abonnements benötigen.","Die nachstehenden Kontaktinformationen gelten nur für Kunden, die sich außerhalb der Vereinigten Staaten an den Kundendienst wenden und Unterstützung bei digitalen Abonnements benötigen.",TRUE,FALSE,FALSE,Supertext,DeepL,en-US_inst_4.txt,instructions
,,,,,,,,,
Select a region below to view contact information and hours alphabetically for that area.,"Wählen Sie eine Region aus, um die Kontaktinformationen und Öffnungszeiten für diese Region alphabetisch sortiert anzuzeigen.","Wählen Sie unten eine Region aus, um die Kontaktinformationen und Öffnungszeiten in alphabetischer Reihenfolge für diese Region anzuzeigen.",FALSE,FALSE,TRUE,Supertext,DeepL,en-US_inst_4.txt,instructions
,,,,,,,,,
Report a Security Vulnerability,Meldung von Sicherheitslücken,Eine Sicherheitslücke melden,FALSE,TRUE,FALSE,Supertext,DeepL,en-US_inst_5.txt,instructions
Learn how to report a security vulnerability to The New York Times.,"Erfahren Sie, wie Sie Sicherheitslücken bei The New York Times melden können.","Erfahren Sie, wie Sie eine Sicherheitslücke an die New York Times melden können.",FALSE,FALSE,TRUE,Supertext,DeepL,en-US_inst_5.txt,instructions
,,,,,,,,,
The introduction of bugs during the building and coding of technology is part of the development cycle.,Bei der Entwicklung von Technologien werden zwangsläufig Fehler eingebaut.,Das Auftreten von Fehlern bei der Entwicklung und Programmierung von Technologien ist Teil des Entwicklungszyklus.,FALSE,FALSE,TRUE,Supertext,DeepL,en-US_inst_5.txt,instructions
"While bugs aren’t inherently harmful, many can be taken advantage of to force software to act in ways not intended to gain unauthorized access to or perform unauthorized actions.","Obwohl Fehler an sich nicht schädlich sind, können sie ausgenutzt werden, um Software dazu zu veranlassen, in unerwünschter Weise zu reagieren und so unbefugten Zugriff auf Daten oder unerlaubte Aktionen zu ermöglichen.","Auch wenn Bugs an sich nicht schädlich sind, können viele von ihnen ausgenutzt werden, um Software dazu zu zwingen, sich auf eine Art und Weise zu verhalten, die nicht beabsichtigt ist, um unbefugten Zugang zu erhalten oder unbefugte Aktionen durchzuführen.",FALSE,FALSE,TRUE,Supertext,DeepL,en-US_inst_5.txt,instructions
,,,,,,,,,
"The New York Times recognizes the efforts of the information security community to protect The New York Times’s information assets, and offers a Vulnerability Disclosure Program to facilitate reporting security related bugs in The New York Times’s information assets.","The New York Times erkennt die Bemühungen der Informationssicherheits-Community an, die Daten von The New York Times zu schützen, und bietet ein Programm zur Meldung von Sicherheitslücken an, um die Meldung von Sicherheitslücken in den Datenbeständen von The New York Times zu erleichtern.","Die New York Times erkennt die Bemühungen der Informationssicherheits-Community an, die Informationsbestände der New York Times zu schützen, und bietet ein Programm zur Offenlegung von Schwachstellen an, um das Melden von sicherheitsrelevanten Fehlern in den Informationsbeständen der New York Times zu erleichtern.",FALSE,FALSE,TRUE,Supertext,DeepL,en-US_inst_5.txt,instructions
Security researchers are welcome to voluntarily report security vulnerabilities using this program.,Sicherheitsforscher können freiwillig Sicherheitslücken im Rahmen dieses Programms melden.,"Sicherheitsforscher sind eingeladen, freiwillig Sicherheitslücken über dieses Programm zu melden.",FALSE,TRUE,FALSE,Supertext,DeepL,en-US_inst_5.txt,instructions
,,,,,,,,,
How to Report a Security Vulnerability,Wie melde ich eine Sicherheitslücke?,Wie man eine Sicherheitslücke meldet,TRUE,FALSE,FALSE,Supertext,DeepL,en-US_inst_5.txt,instructions
,,,,,,,,,
You  can report a security vulnerability by submitting a Vulnerability Report.,"Sie können eine Sicherheitslücke melden, indem Sie einen Bericht über die Sicherheitslücke einreichen.","Sie können eine Sicherheitsschwachstelle melden, indem Sie einen Schwachstellenbericht einreichen.",FALSE,TRUE,FALSE,Supertext,DeepL,en-US_inst_5.txt,instructions
,,,,,,,,,
The submission is subjected to the terms and conditions set forth on our Vulnerability Disclosure Policy and the terms and conditions and disclosure guidelines outlined on the vulnerability disclosure form’s page.,"Die Einreichung unterliegt den Bestimmungen unserer Richtlinie zur Meldung von Sicherheitslücken und den Bestimmungen und Leitlinien, die auf der Seite mit dem Formular zur Meldung von Sicherheitslücken festgelegt sind.","Die Meldung unterliegt den Bedingungen, die in unserer Richtlinie zur Offenlegung von Sicherheitslücken dargelegt sind, sowie den Bedingungen und Offenlegungsrichtlinien, die auf der Seite des Formulars zur Meldung von Sicherheitslücken aufgeführt sind.",FALSE,TRUE,FALSE,Supertext,DeepL,en-US_inst_5.txt,instructions
,,,,,,,,,
"By submitting a vulnerability report to The New York Times Vulnerability Disclosure Program, the researcher agrees to these terms and conditions.",Durch die Einreichung eines Berichts über eine Sicherheitslücke bei The New York Times stimmt der Forscher den Bestimmungen zu.,Mit der Übermittlung eines Schwachstellenberichts an das Programm zur Offenlegung von Schwachstellen der New York Times erklärt sich der Forscher mit diesen Bedingungen einverstanden.,FALSE,FALSE,TRUE,Supertext,DeepL,en-US_inst_5.txt,instructions
,,,,,,,,,
Cancel Your Subscription,Ihr Abonnement kündigen,Ihre Abonnementdaten ändern,TRUE,FALSE,FALSE,DeepL,Supertext,en-US_inst_6.txt,instructions
Learn about the different ways you can cancel your New York Times subscription.,"Informieren Sie sich über die verschiedenen Möglichkeiten, wie Sie Ihr New York Times-Abonnement kündigen können.","Erfahren Sie mehr über die verschiedenen Möglichkeiten, Ihr Abonnement für die New York Times zu kündigen.",FALSE,TRUE,FALSE,DeepL,Supertext,en-US_inst_6.txt,instructions
,,,,,,,,,
Did you know?,Wussten Sie schon?,Did you know?,TRUE,FALSE,FALSE,DeepL,Supertext,en-US_inst_6.txt,instructions
You can cancel your subscription in Account.,Sie können Ihr Abonnement über Ihr Konto kündigen.,Sie können Ihr Abonnement in Ihrem Konto kündigen.,FALSE,FALSE,TRUE,DeepL,Supertext,en-US_inst_6.txt,instructions
,,,,,,,,,
Cancel Your New York Times Subscription,Kündigen Sie Ihr New York Times-Abonnement,Ihr New-York-Times-Abonnement kündigen,FALSE,FALSE,TRUE,DeepL,Supertext,en-US_inst_6.txt,instructions
,,,,,,,,,
There are several ways to cancel your New York Times subscription.,"Es gibt mehrere Möglichkeiten, Ihr New York Times-Abonnement zu kündigen.","Es gibt verschiedene Möglichkeiten, Ihr Abonnement für die New York Times zu kündigen.",FALSE,TRUE,FALSE,DeepL,Supertext,en-US_inst_6.txt,instructions
Once your subscription has been canceled you will have limited access to The New York Times’s content.,"Sobald Ihr Abonnement gekündigt wurde, haben Sie nur noch eingeschränkten Zugriff auf die Inhalte der New York Times.",Nach der Kündigung haben Sie nur noch eingeschränkten Zugriff auf die Inhalte der New York Times.,FALSE,TRUE,FALSE,DeepL,Supertext,en-US_inst_6.txt,instructions
,,,,,,,,,
Give us a call,Rufen Sie uns an,Rufen Sie uns an,FALSE,TRUE,FALSE,DeepL,Supertext,en-US_inst_6.txt,instructions
,,,,,,,,,
Call us at 866-273-3612 if you are in the U.S.,"Rufen Sie uns unter 866-273-3612 an, wenn Sie sich in den USA befinden.","Rufen Sie uns unter 866-273-3612 an, wenn Sie in den USA wohnen.",FALSE,TRUE,FALSE,DeepL,Supertext,en-US_inst_6.txt,instructions
"Our hours are 7 a.m. to 6 p.m. E.T. Monday to Friday, and 7 a.m. to 3 p.m. E.T. on weekends and holidays.",Unsere Geschäftszeiten sind von Montag bis Freitag von 7 bis 18 Uhr und an Wochenenden und Feiertagen von 7 bis 15 Uhr.,Unsere Öffnungszeiten lauten von Montag bis Freitag von 7:00 bis 18:00 Uhr ET und am Wochenende sowie an Feiertagen von 7:00 bis 15:00 Uhr ET.,FALSE,FALSE,TRUE,DeepL,Supertext,en-US_inst_6.txt,instructions
,,,,,,,,,
"If you are outside the U.S, please see our international contact information.","Wenn Sie sich außerhalb der USA befinden, beachten Sie bitte unsere internationalen Kontaktinformationen.","Wenn Sie sich ausserhalb der USA befinden, finden Sie hier weitere Informationen zu unseren internationalen Kontaktmöglichkeiten.",TRUE,FALSE,FALSE,DeepL,Supertext,en-US_inst_6.txt,instructions
,,,,,,,,,
Chat with a Care Advocate,Chat mit einem Betreuer,Chatten Sie mit einem Kundenbetreuer,FALSE,FALSE,TRUE,DeepL,Supertext,en-US_inst_6.txt,instructions
,,,,,,,,,
Select the Contact us button at the bottom of this page to chat with a Customer Care Advocate and cancel your subscription.,"Wählen Sie die Schaltfläche Kontakt unten auf dieser Seite, um mit einem Kundenbetreuer zu chatten und Ihr Abonnement zu kündigen.","Klicken Sie unten auf dieser Seite auf Kontakt aufnehmen, um mit einem Kundenbetreuer zu chatten und Ihr Abonnement zu kündigen.",FALSE,TRUE,FALSE,DeepL,Supertext,en-US_inst_6.txt,instructions
,,,,,,,,,
"Chat is available 7a.m. to 6p.m. E.T. Monday to Friday, and 7 a.m. to 3 p.m. E.T. on weekends and holidays.",Der Chat ist von Montag bis Freitag von 7 bis 18 Uhr und an Wochenenden und Feiertagen von 7 bis 15 Uhr verfügbar.,Unsere Chat-Möglichkeit steht Ihnen von Montag bis Freitag von 7:00 bis 18:00 Uhr ET sowie am Wochenende und an Feiertagen von 7:00 bis 15:00 Uhr ET zur Verfügung.,FALSE,FALSE,TRUE,DeepL,Supertext,en-US_inst_6.txt,instructions
,,,,,,,,,
"For more information about our cancellation policy, see our Terms of Sale.",Weitere Informationen über unsere Widerrufsbelehrung finden Sie in unseren Verkaufsbedingungen.,Weitere Informationen zu unserer Kündigungspolitik finden Sie in unseren Verkaufsbedingungen.,TRUE,FALSE,FALSE,DeepL,Supertext,en-US_inst_6.txt,instructions
,,,,,,,,,
Go to Your Account,Gehen Sie zu Ihrem Konto,Gehen Sie zu Ihrem Konto,FALSE,TRUE,FALSE,DeepL,Supertext,en-US_inst_6.txt,instructions
,,,,,,,,,
Eligible digital and Home Delivery subscriptions billed through The New York Times can be canceled using your account.,"Berechtigte digitale und Home Delivery-Abonnements, die über die New York Times abgerechnet werden, können über Ihr Konto gekündigt werden.","Digital- und Home-Delivery-Abonnements, die über die New York Times abgerechnet werden, können über Ihr Konto gekündigt werden.",TRUE,FALSE,FALSE,DeepL,Supertext,en-US_inst_6.txt,instructions
,,,,,,,,,
"Under your account, select Subscription Overview.",Wählen Sie unter Ihrem Konto die Option Abonnementübersicht.,"Gehen Sie in Ihrem Konto zu ""Abonnementübersicht"".",FALSE,FALSE,TRUE,DeepL,Supertext,en-US_inst_6.txt,instructions
